Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBtr0332847	18	3	9	150	43	63	9	4	13	77	59	78	40.06	9	71	8.061	3.011	5.878	4.1502229080782e-09	2.46146444186349e-07	0.0121	0.187	0.1212	0.1212	TRUE	NA
FBtr0112808	267	231	207	1255	657	527	138	346	292	641	903	654	495.61	259	733	3.029	1.599	5.836	5.3394797826263e-09	3.12567598963481e-07	0.0646	0.0386	0.0513	0.0513	TRUE	NA
FBtr0076885	666	223	237	1222	467	506	344	334	334	625	642	628	484.34	337	632	1.87	0.903	5.817	6.00873234133016e-09	3.47379935513335e-07	0	0.0389	0.0149	0.0149	TRUE	NA
FBtr0091711	226	225	242	649	467	552	117	337	341	332	642	685	408.81	265	553	2.217	1.148	5.718	1.0795097774592e-08	6.04458425080416e-07	0.0133	0.0414	0.026	0.026	TRUE	NA
FBtr0074418	378	146	170	702	365	437	195	219	239	359	502	542	342.66	218	468	2.111	1.078	5.71	1.13089772506541e-08	6.29323641448436e-07	0.0052	0.0444	0.0221	0.0221	TRUE	NA
FBtr0346276	1109	288	308	2072	535	632	573	431	434	1059	735	784	669.41	479	859	1.789	0.839	5.702	1.18106114218904e-08	6.53206515143201e-07	1e-04	0.0352	0.0137	0.0137	TRUE	NA
FBtr0346713	1301	231	408	2480	1826	1911	672	346	575	1268	2510	2370	1290.13	531	2049	3.768	1.914	5.612	1.99749373427194e-08	1.08478349484708e-06	0.1509	0.0306	0.0825	0.0825	TRUE	NA
FBtr0300889	355	266	129	1344	638	701	183	398	182	687	877	870	532.82	254	811	3.243	1.697	5.604	2.09586373849492e-08	1.13138991631927e-06	0.091	0.0377	0.0634	0.0634	TRUE	NA
FBtr0333852	148	61	37	336	319	351	76	91	52	172	439	435	210.92	73	349	4.332	2.115	5.589	2.27803901150761e-08	1.22241200528221e-06	0.143	0.0562	0.0947	0.0947	TRUE	NA
FBtr0301413	838	420	413	1753	738	882	433	629	582	896	1014	1094	774.68	548	1001	1.849	0.886	5.587	2.31313763938626e-08	1.23390152775545e-06	0	0.0339	0.0166	0.0166	TRUE	NA
FBtr0089485	1199	346	278	2634	715	677	620	518	392	1346	983	840	783.01	510	1056	2.061	1.044	5.584	2.35053078870074e-08	1.2464726505963e-06	0.0144	0.0338	0.0234	0.0234	TRUE	NA
FBtr0302188	1455	442	474	2337	891	1006	752	662	668	1194	1225	1248	958.06	694	1222	1.76	0.816	5.58	2.4020375952608e-08	1.26633736381731e-06	0.0022	0.0323	0.0142	0.0142	TRUE	NA
FBtr0081639	50776	22647	26101	77384	40342	46038	26239	33914	36758	39551	55455	57104	41503.6	32304	50703	1.564	0.645	5.541	3.0160793455181e-08	1.57167371675409e-06	0.0015	0.0257	0.0097	0.0097	TRUE	NA
FBtr0347201	611	306	276	1857	573	687	316	458	389	949	788	852	625.26	388	863	2.251	1.171	5.538	3.06631269507117e-08	1.58851148940901e-06	0.0272	0.0359	0.0302	0.0302	TRUE	NA
FBtr0072795	288	148	155	577	306	378	149	222	218	295	421	469	295.52	196	395	2.008	1.006	5.527	3.26237979993473e-08	1.67104283502339e-06	0	0.0474	0.0199	0.0199	TRUE	NA
FBtr0088137	2481	1322	1427	5964	2436	2706	1282	1980	2010	3048	3349	3356	2504.11	1757	3251	1.888	0.917	5.515	3.49202850469127e-08	1.77856706044021e-06	0.0131	0.0281	0.0195	0.0195	TRUE	NA
FBtr0075558	1307	359	366	4941	776	801	675	538	515	2525	1067	994	1052.34	576	1529	2.437	1.285	5.412	6.24558852259271e-08	3.0767202476051e-06	0.0464	0.0317	0.0391	0.0391	TRUE	NA
FBtr0089512	409	100	114	840	258	243	211	150	161	429	355	301	267.84	174	362	2.082	1.058	5.354	8.59095312679575e-08	4.16384099129375e-06	0.0014	0.0497	0.0233	0.0233	TRUE	NA
FBtr0273224	145	124	125	690	316	308	75	186	176	353	434	382	267.62	146	390	2.89	1.531	5.339	9.35132550791673e-08	4.50813900822831e-06	0.0588	0.0497	0.0542	0.0542	TRUE	NA
FBtr0072767	258	62	94	503	294	366	133	93	132	257	404	454	245.63	119	372	3.004	1.587	5.294	1.19574733067968e-07	5.61440738858194e-06	0.0664	0.0519	0.0589	0.0589	TRUE	NA
FBtr0072649	5466	1910	1907	8612	3049	3642	2825	2860	2686	4402	4191	4517	3580.12	2790	4370	1.566	0.647	5.28	1.29170539537e-07	6.03353582345106e-06	0.001	0.0273	0.0105	0.0105	TRUE	NA
FBtr0082069	41	21	6	240	67	134	21	31	8	123	92	166	73.68	20	127	6.24	2.641	5.268	1.37643349693652e-07	6.33089182391974e-06	0.2126	0.1133	0.1499	0.1499	TRUE	NA
FBtr0112879	133	48	52	1176	139	163	69	72	73	601	191	202	201.36	71	331	4.065	2.023	5.253	1.50000503025142e-07	6.82956835743258e-06	0.141	0.0577	0.0963	0.0963	TRUE	NA
FBtr0333013	212	74	88	895	224	187	110	111	124	457	308	232	223.6	115	332	2.838	1.505	5.229	1.70698241789222e-07	7.65594353099422e-06	0.0514	0.0545	0.053	0.053	TRUE	NA
FBtr0333071	1456	252	227	2936	450	475	752	377	320	1501	619	589	692.97	483	903	1.824	0.867	5.215	1.84208335394732e-07	8.14038305678189e-06	0.0043	0.0349	0.0177	0.0177	TRUE	NA
FBtr0342825	258	142	142	470	329	452	133	213	200	240	452	561	299.84	182	418	2.208	1.142	5.209	1.90227344722687e-07	8.32475491589816e-06	0.0168	0.0471	0.0305	0.0305	TRUE	NA
FBtr0071249	16938	7612	8754	25541	12986	15029	8753	11399	12328	13054	17851	18642	13671.11	10827	16516	1.522	0.606	5.188	2.13004754374048e-07	9.23191279174061e-06	0.0013	0.026	0.0098	0.0098	TRUE	NA
FBtr0340190	559	225	441	1641	762	1045	289	337	621	839	1047	1296	738.21	416	1061	2.591	1.374	5.14	2.7470409201759e-07	1.18490784188448e-05	0.0669	0.0343	0.0497	0.0497	TRUE	NA
FBtr0072557	4386	1355	1484	6711	2265	2512	2266	2029	2090	3430	3114	3116	2674.15	2128	3220	1.513	0.597	5.102	3.36744105033243e-07	1.44483531050515e-05	0	0.028	0.0094	0.0094	TRUE	NA
FBtr0344873	2	4	3	58	29	42	1	6	4	30	40	52	22.14	4	41	12.888	3.688	5.101	3.38169995026717e-07	1.44483531050515e-05	0	0.3176	0.1999	0.1999	TRUE	NA
FBtr0087820	37	11	19	165	63	62	19	16	27	84	87	77	51.7	21	83	4.004	2.002	5.074	3.89529576158887e-07	1.63330657166157e-05	0	0.1506	0.08	0.08	TRUE	NA
FBtr0083273	845	247	192	2443	434	504	437	370	270	1249	597	625	591.22	359	824	2.198	1.136	5.06	4.18473967942211e-07	1.72262229269362e-05	0.0313	0.0365	0.0338	0.0338	TRUE	NA
FBtr0084911	67	61	79	270	217	167	35	91	111	138	298	207	146.78	79	214	2.915	1.544	5.052	4.366927391265e-07	1.78944774692063e-05	0.0462	0.0696	0.0577	0.0577	TRUE	NA
FBtr0345005	330	146	147	586	302	342	171	219	207	300	415	424	289.17	199	380	1.892	0.92	5.04	4.645717589442e-07	1.89507439225428e-05	0	0.0479	0.02	0.02	TRUE	NA
